alarm/modify_alarm	Please change my Sunday 3:45am alarm to the next day at 5am	datetime	to	Invalid slot value
alarm/modify_alarm	Please change my Sunday 3:45am alarm to the next day at 5am	datetime	to	Invalid slot value
alarm/modify_alarm	Please change my Sunday 3:45am alarm to the next day at 5am	datetime	to	Invalid slot value
reminder/set_reminder	remind me about my date tomorrow at 3pm	reminder/todo	date	Invalid slot value
reminder/set_reminder	remind me of my alarm in 2 hours	reminder/todo	alarm	Invalid slot value
reminder/set_reminder	remind me to set alarm	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me to set alarm tonight	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Reminder set alarm for 500 am tomorrow	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Reminder set alarm for 500 am tomorrow	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me about the show that's on at 7 pm	reminder/todo	show	Invalid slot value
reminder/set_reminder	place reminder on Saturday, date	reminder/todo	reminder	Invalid slot value
alarm/modify_alarm	set alarm to go off 10 minutes early	datetime	alarm	Invalid slot value
reminder/set_reminder	remind me of my date at 6 pm tomorrow	reminder/todo	date	Invalid slot value
reminder/set_reminder	Remind me to set alarm for 8 am tomorrow	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	remind me to set alarm for 6 am	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me to set alarm for Friday morning	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	remind me to set alarm for 2pm on Sunday	reminder/todo	set alarm	Invalid slot value
reminder/show_reminders	how much time until my next reminder	datetime	time	Invalid slot value
reminder/set_reminder	Remind me to set alarm at 9pm	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Set a reminder to pick up the dry cleaning on Friday	reminder/recurring_period	reminder	Invalid slot value
reminder/set_reminder	Remind me to set alarm.	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	remind me to set alarm for 6 am	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me to set alarm tomorrow.	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me to make a doctor's appointment	reminder/todo	remind	Invalid slot value
reminder/set_reminder	reminder alarm for 10am tuesday august 15	reminder/todo	alarm	Invalid slot value
reminder/set_reminder	Set a reminder with my 5:00 alarm.	reminder/todo	alarm	Invalid slot value
reminder/set_reminder	Create reminder to set alarm at 7:30pm	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Remind me to call the veterinarian to make an appointment tonight.	reminder/todo	remind	Invalid slot value
reminder/set_reminder	reminder alarm for 10am tuesday august 15	reminder/todo	alarm	Invalid slot value
reminder/set_reminder	Remind me to set alarm.	reminder/todo	set alarm	Invalid slot value
alarm/show_alarms	What alarm to I have set for tomorrow?	datetime	alarm	Invalid slot value
reminder/set_reminder	Remind me to set alarm for Friday morning	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	remind me to set alarm at 8	reminder/todo	set alarm	Invalid slot value
reminder/set_reminder	Set an alarm to remind me to drink water every 2 hours			Invalid request
alarm/cancel_alarm	cancel all alarms and reminders please			Invalid request
reminder/cancel_reminder	cancel all alarms and reminders			Invalid request
reminder/set_reminder	Set a reminder alarm for 2pm			Invalid request
reminder/show_reminders	show alarm reminder			Invalid request
reminder/set_reminder	set a reminder called golf for this sunday at seven am, set an alarm for this reminder to go off 30 minutes beforehand			Invalid request
reminder/set_reminder	Please remind me to set an alarm			Invalid request
reminder/set_reminder	remind me to set my alarm for 8 am on sunday			Invalid request
reminder/show_reminders	show alarm reminder			Invalid request
reminder/set_reminder	create new alarm reminder groceries			Invalid request
reminder/set_reminder	Remind me to set an alarm for tomorrow morning			Invalid request
reminder/set_reminder	set my alarm for tonights Empire show as a reminder			Invalid request
reminder/set_reminder	remind me to set my alarm tonight			Invalid request
reminder/set_reminder	remind me of my alarm in 2 hours			Invalid request
alarm/set_alarm	Set an alarm and a reminder to pick up George at 9am			Invalid request
